Ship overall,Ship rooms,F&B quality overall,F&B service overall,F&B quality main dining,Entertainment,Excursions,drinks offerings,bar service,cabin cleanliness,crew friendliness,Sentiment analysis,Primary issues mentioned,Review
6.0,,4.0,7.0,2.0,,,,,,,,5,"Based on the guest review, I would rate the following areas as follows:

1. Ship Overall: 6/10
The guest had a mixed experience with the ship, mentioning both positive (smooth running of inbarment) and negative aspects (poor service, dirty tables, poor food quality).

2. Ship Rooms: N/A
There is no mention of the guest's room or any issues they experienced while staying there.

3. F&B Quality Overall: 4/10
The guest was extremely dissatisfied with the main restaurant, describing the service as ""very poor"" and the food as ""poor"", ""bland"", and ""repetitive"".

4. F&B Staff Service Overall: 7/10
Although the guest was unhappy with the service in the main restaurant, they did mention that the staff in the inbarment and disbarment were ""friendly happy"".

5. F&B Quality Main Dining: 2/10
The guest had a very poor experience with the main dining area, describing the food as ""poor"", ""bland"", and ""repetitive"".

6. Entertainment: N/A
There is no mention of the guest's experience with entertainment on board.

7. Excursions: N/A
There is no mention of the guest's experience with excursions.

8. Primary Issues Mentioned: 5/10
The primary issues mentioned by the guest were poor food quality, poor service in the main restaurant, and lack of disabled-friendly facilities around the board.

9. Sentiment Analysis:
The sentiment analysis suggests that the guest was extremely dissatisfied (negative) with their experience on board, particularly with regards to food quality and service in the main restaurant. The only positive comments were about the staff in the inbarment and disbarment."
9.0,,8.0,9.0,,,,,,,,,N/A,"Based on the guest review, I would score the following areas:

1. Ship Overall: 9/10
The guest mentions that they ""loved every minute"" of their holiday, indicating a high level of satisfaction with the overall experience.

2. Ship Rooms: N/A (no mention)
There is no feedback provided about the quality or condition of the ship's rooms.

3. F&B Quality Overall: 8/10
The guest mentions that they ""cannot pick fault"" with any aspect of their holiday, but does not specifically comment on the food quality.

4. F&B Staff Service Overall: 9/10
The guest expresses gratitude to all the staff for their hard work and praises them as ""amazing"".

5. F&B Quality Main Dining: N/A (no mention)
There is no feedback provided about the quality of the main dining experience.

6. Entertainment: N/A (no mention)
There is no comment made about the entertainment options on board.

7. Excursions: N/A (no mention)
There is no feedback provided about the excursions offered by the cruise line.

8. Primary Issues Mentioned: N/A (no negative comments)
The guest does not mention any issues or problems with their holiday.

9. Sentiment Analysis:
The sentiment of the review is overwhelmingly positive, with words and phrases such as ""loved every minute"", ""amazing staff"", and ""cannot pick fault"" indicating a high level of satisfaction and enthusiasm. The tone is also appreciative and grateful, suggesting that the guest felt valued and well-cared for during their holiday."
8.0,,7.0,9.0,,,,,,,,6.0,2,"Based on the guest review, I would rate the following areas as follows:

1. Ship Overall: 8/10
The guest mentions that everything was ""very good as usual"", indicating a high level of satisfaction with the overall experience.

2. Ship Rooms: N/A (no mention)
There is no feedback provided about the rooms or their quality.

3. F&B Quality Overall: 7/10
The guest praises the service in the restaurant, but mentions that the extras are quite expensive and not clearly explained.

4. F&B Staff Service Overall: 9/10
The guest specifically mentions that Jessa and her team provided excellent service, indicating high levels of staff satisfaction.

5. F&B Quality Main Dining: N/A (no mention)
There is no feedback provided about the quality of main dining.

6. Entertainment: N/A (no mention)
There is no feedback provided about the entertainment options on board.

7. Excursions: N/A (no mention)
There is no feedback provided about the excursions or their quality.

8. Primary Issues Mentioned: 2/10
The guest mentions two primary issues:
- The airline did not know about a nut allergy in the party, and they had to inform the ship and hotel.
- The upgraded drinks package was not clearly explained, and only the upgraded wine was offered after 3 days.

9. Sentiment Analysis: 6/10
The sentiment of the review is generally positive, but with some criticisms about the extras being expensive and the airline's lack of knowledge about a nut allergy."
9.0,,8.0,,8.0,,,,,,,10.0,N/A,"Based on the provided guest review, I would rate the attributes as follows:

1. Ship Overall: 9/10
The guest mentions that ""everything was great"" and ""well worth the money"", indicating a high level of satisfaction with their overall experience.

2. Ship Rooms: N/A (not mentioned)
Since the guest does not mention anything about their room, I would rate this attribute as 'n/a'.

3. F&B Quality Overall: 8/10
The guest mentions that ""everything was great"" and implies a high level of satisfaction with the food quality.

4. F&B Staff Service Overall: N/A (not mentioned)
Similar to Ship Rooms, the guest does not mention anything about the service they received from the F&B staff.

5. F&B Quality Main Dining: 8/10
As mentioned earlier, the guest implies a high level of satisfaction with the food quality.

6. Entertainment: N/A (not mentioned)
The guest does not mention anything about the entertainment options on board.

7. Excursions: N/A (not mentioned)
Similarly, the guest does not mention anything about their experience with excursions.

8. Primary Issues Mentioned: N/A (no complaints mentioned)
The guest explicitly states that they have ""no complaints at all"", indicating that there were no primary issues mentioned during their stay.

9. Sentiment Analysis: 10/10
The overall sentiment of the review is extremely positive, with words like ""great"" and ""well worth the money"" used to describe their experience. The guest also explicitly states that they will ""definitely use again"", indicating a high level of satisfaction and loyalty."
8.0,9.0,8.0,9.0,8.0,7.0,,,,,,,0,"Based on the guest review, I would score it as follows:

1. Ship Overall: 8/10
The guest had a fantastic time on their 14-day cruise and mentioned that their cabin was ""spoitless"" (I assume this means spotless), which suggests high standards of cleanliness and maintenance.

2. Ship Rooms: 9/10
As the guest's cabin was described as ""spoitless"", I would score this attribute a perfect 9/10, indicating excellent condition and cleanliness.

3. F&B Quality Overall: 8/10
The guest mentioned that the food was ""fab"" and enjoyed the buffet service, which suggests good quality and variety of food options.

4. F&B Staff Service Overall: 9/10
Cris Bagus and Joshua were described as ""so nice, friendly and nothing was a problem to them"", indicating excellent service from the staff.

5. F&B Quality Main Dining: 8/10
While the guest didn't specifically mention the main dining experience, their overall comment about food being ""fab"" suggests that it was of good quality.

6. Entertainment: 7/10
The guest mentioned that the entertainment in the evenings was a bit repetitive, especially on ship 2 weeks into the cruise. This suggests that while there were some enjoyable shows, they may have gotten a bit stale towards the end of the cruise.

7. Excursions: N/A
There is no mention of excursions in the review, so I would score this attribute as 'n/a'.

8. Primary Issues Mentioned: 0/10
The guest didn't mention any primary issues or complaints during their cruise, which suggests that they had a largely problem-free experience.

9. Sentiment Analysis:
The overall sentiment of the review is extremely positive, with words like ""Fantastic"", ""fab"", and ""huge asset"" used to describe their experience. The only slightly negative comment was about the entertainment being repetitive, but this was not enough to detract from their overall enjoyment of the cruise."
9.0,,8.5,9.0,,4.0,9.0,,,,,,,"Here are the scores based on the guest review:

1. Ship Overall: 9/10
The guest had a ""brilliant"" overall experience, with only a few minor complaints.

2. Ship Rooms: N/A (not mentioned in the review)
There is no mention of the guest's cabin or room experience.

3. F&B Quality Overall: 8.5/10
The guest praised the quality of food and drinks, but had some criticisms about entertainment options.

4. F&B Staff Service Overall: 9/10
The guest mentioned that the staff were ""excellent"" and always smiling, helpful, and professional.

5. F&B Quality Main Dining: N/A (not mentioned in the review)
There is no mention of the quality of main dining.

6. Entertainment: 4/10
The guest was disappointed with the lack of entertainment options in certain venues, particularly Flutes.

7. Excursions: 9/10
The guest had a great experience with excursions, but did mention that the scenic railway cancellation was a blemish.

8. Primary Issues Mentioned: Late cancellation of scenic railway in St Kitts (score: 6/10)
This was mentioned as one of the few minor issues that needed addressing.

9. Sentiment Analysis:
The overall sentiment of the review is positive, with the guest expressing their enthusiasm for the cruise and highlighting the strengths of the staff and excursions. However, there are some criticisms about entertainment options and a few minor issues that need addressing. The score for sentiment analysis would be 8/10.

Note: I've scored the primary issue mentioned as 6/10 because it was a significant disappointment to the guest, but not necessarily a major issue with the cruise overall."
9.0,9.0,9.5,9.5,9.5,9.0,9.0,,,,,,n/a,"Based on the guest review, here are the scores:

1. Ship Overall: 9/10
The guest mentions that the ship is ""very clean, comfortable and well organised"", indicating a high level of satisfaction with the overall experience.

2. Ship Rooms: 9/10
The guest praises the cabin staff for keeping their room ""clean, tidy and topped up twice a day"", suggesting excellent housekeeping services.

3. F&B Quality Overall: 9.5/10
The guest raves about the food choices and quality, stating that it was ""excellent"". They also appreciate the accommodation of dietary needs by the kitchen staff.

4. F&B Staff Service Overall: 9.5/10
The guest expresses gratitude to specific staff members (Hanna, Pat, Ignatius, Sophie) for their kindness, efficiency, and support. This suggests excellent service from the food and beverage team.

5. F&B Quality Main Dining: 9.5/10
This score is identical to the overall F&B quality score, as there are no specific comments about main dining that would suggest otherwise.

6. Entertainment: 9/10
The guest mentions that the entertainment options were ""fabulous"", indicating a high level of satisfaction with the onboard activities.

7. Excursions: 9/10
The guest praises the excursion choices, stating they were ""fabulous"". However, there is a mention of quality varying on different islands, which might be considered a minor issue.

8. Primary Issues Mentioned: n/a
There are no specific issues mentioned by the guest that would warrant a score below 6.

9. Sentiment Analysis:
The sentiment analysis reveals an overwhelmingly positive tone in the review, with words and phrases such as ""lovely holiday"", ""excellent"", ""fabulous"", and ""thank you"" indicating high levels of satisfaction and appreciation for the cruise experience."
8.0,6.0,7.0,9.0,7.0,,8.0,,,,,,2,"Based on the guest review, I've scored each area as follows:

1. Ship Overall: 8/10
The guest mentions that they couldn't fault the cruise, indicating overall satisfaction with their experience.

2. Ship Rooms: 6/10
The guest expresses frustration with the family cabin's bunk beds, which hindered getting in and out of bed. However, this is not a major complaint, and they don't mention any other issues with the room itself.

3. F&B Quality Overall: 7/10
The guest praises the food as ""very good"" but mentions two poor menu choices at specific restaurants (Latitude and Silver Fork). They also express disappointment with one of their meals due to an overabundance of garlic in the Tomato soup starter.

4. F&B Staff Service Overall: 9/10
The guest describes the staff as ""excellent,"" indicating high satisfaction with the service they received.

5. F&B Quality Main Dining: 7/10
Similar to the overall F&B quality score, the guest praises the food but mentions two poor menu choices and one disappointing meal due to garlic in the starter.

6. Entertainment: N/A
The guest review doesn't mention anything about the entertainment on board.

7. Excursions: 8/10
The guest expresses disappointment with the port and surrounding town in St Vincent, which they didn't realize would be poor until after booking a tour. However, they do mention that all other ports were good.

8. Primary Issues Mentioned: 2 (family cabin bunk beds and lack of information about ports)
These are the two main issues mentioned by the guest, with the port issue being more related to their decision-making process rather than an inherent problem with the cruise.

9. Sentiment Analysis:
The sentiment analysis is overwhelmingly positive, with phrases like ""We could not fault the cruise"" and ""An excellent cruise, great staff."" The only negative comments are minor and don't detract from the overall positive tone of the review."
8.0,,6.0,9.0,5.0,9.0,,,,,,,,"Here are my scores based on the guest review:

1. Ship Overall: 8/10
The guest mentions that they had a ""relaxing holiday"" and enjoyed their time on the cruise, but also mentions some specific issues with the ship (e.g. lack of change in food options).

2. Ship Rooms: N/A
No mention of the rooms themselves.

3. F&B Quality Overall: 6/10
The guest mentions that they were disappointed with The Kitchens, which suggests a lower score for overall F&B quality.

4. F&B Staff Service Overall: 9/10
The guest states that ""we could not fault the staff in all departments"", indicating a high level of service.

5. F&B Quality Main Dining: 5/10
Similar to the overall F&B quality, the guest mentions disappointment with The Kitchens, suggesting a lower score for main dining.

6. Entertainment: 9/10
The guest describes entertainment as ""magnificent"", indicating a very high level of satisfaction.

7. Excursions: N/A
No mention of excursions.

8. Primary Issues Mentioned: 
- Lack of change in food options at The Kitchens
- Poor condition of glass doors on large wine fridges outside Surf & Turf

9. Sentiment Analysis:
The overall sentiment of the review is positive, with the guest expressing satisfaction with the staff and entertainment, but disappointment with some aspects of the F&B experience."
9.0,,9.0,,9.0,,,,,,,,N/A,"Based on the provided guest review, I would rate the attributes as follows:

1. Ship Overall: 9/10
The reviewer uses the words ""absolutely"" and ""marvellous"", indicating a very high level of satisfaction with their overall experience.

2. Ship Rooms: N/A (No mention)
There is no information about the guest's room or accommodation in the review.

3. F&B Quality Overall: 9/10
The reviewer uses positive adjectives such as ""excellent"" to describe their dining experience, indicating a high level of satisfaction with the food and beverage quality overall.

4. F&B Staff Service Overall: N/A (No mention)
There is no information about the guest's service or interactions with staff in the review.

5. F&B Quality Main Dining: 9/10
Similar to the previous attribute, the reviewer uses positive language to describe their dining experience, indicating a high level of satisfaction with the quality of main dining.

6. Entertainment: N/A (No mention)
There is no information about the guest's entertainment experiences in the review.

7. Excursions: N/A (No mention)
There is no information about the guest's excursion experiences in the review.

8. Primary Issues Mentioned: N/A (No issues mentioned)
The reviewer does not mention any negative aspects or primary issues with their experience.

9. Sentiment Analysis:
The sentiment of the review is overwhelmingly positive, with words such as ""absolutely"", ""marvellous"", and ""excellent"" used to describe the guest's experience. The tone is enthusiastic and suggests that the guest had an exceptional time on the cruise."
